person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
43,33222,RENT,0.0,PERSONAL,3900.0,12.04,0,0.12,N,24
39,41763,MORTGAGE,2.0,MEDICAL,6300.0,5.0,0,0.15,N,20
44,38763,RENT,1.0,DEBTCONSOLIDATION,6200.0,,0,0.16,N,22
51,48998,RENT,0.0,EDUCATION,8900.0,10.81,0,0.18,N,30
38,39476,RENT,6.0,PERSONAL,3600.0,7.51,0,0.09,N,19
38,36886,RENT,4.0,HOMEIMPROVEMENT,3800.0,8.2,1,0.1,N,17
51,52183,OWN,3.0,VENTURE,9400.0,6.69,0,0.18,N,29
45,139855,OWN,2.0,EDUCATION,12600.0,8.83,0,0.09,N,26
37,65630,MORTGAGE,1.0,HOMEIMPROVEMENT,6800.0,11.11,0,0.1,N,19
43,20129,OWN,0.0,DEBTCONSOLIDATION,1900.0,6.46,0,0.09,N,25
37,58434,RENT,1.0,PERSONAL,12500.0,13.41,0,0.21,N,16
37,37894,MORTGAGE,9.0,HOMEIMPROVEMENT,8200.0,5.93,0,0.22,N,17
41,30622,RENT,7.0,PERSONAL,4100.0,9.79,0,0.13,N,23
30,69698,RENT,14.0,PERSONAL,5600.0,,0,0.08,Y,10
31,50950,RENT,5.0,EDUCATION,8500.0,13.64,1,0.17,Y,11
36,169937,OWN,4.0,VENTURE,20500.0,9.15,0,0.12,N,18
34,46298,MORTGAGE,1.0,PERSONAL,5100.0,11.57,1,0.11,N,15
42,43778,MORTGAGE,0.0,VENTURE,3900.0,13.87,1,0.09,N,22
35,89194,MORTGAGE,4.0,PERSONAL,11200.0,12.37,0,0.13,N,16
32,49562,RENT,3.0,DEBTCONSOLIDATION,3200.0,11.89,1,0.06,N,10
50,28894,RENT,7.0,MEDICAL,6300.0,9.5,0,0.22,N,28
38,31559,MORTGAGE,2.0,HOMEIMPROVEMENT,3000.0,11.78,0,0.1,N,18
40,41597,MORTGAGE,21.0,EDUCATION,4200.0,,0,0.1,N,22
32,68106,MORTGAGE,2.0,DEBTCONSOLIDATION,13900.0,12.59,1,0.2,N,11
36,92602,MORTGAGE,2.0,EDUCATION,16700.0,9.68,0,0.18,N,18
40,73202,MORTGAGE,10.0,MEDICAL,19300.0,7.07,0,0.26,N,21
33,65122,MORTGAGE,2.0,VENTURE,8600.0,,1,0.13,N,14
42,84833,MORTGAGE,10.0,PERSONAL,8800.0,5.0,0,0.1,N,21
36,66875,RENT,0.0,DEBTCONSOLIDATION,7900.0,12.58,0,0.12,N,16
38,31207,RENT,5.0,MEDICAL,1900.0,9.03,0,0.06,Y,16
36,43898,RENT,0.0,EDUCATION,5400.0,5.79,0,0.12,N,16
54,37888,MORTGAGE,0.0,VENTURE,5300.0,9.17,0,0.14,N,30
39,92147,MORTGAGE,6.0,MEDICAL,8400.0,9.79,0,0.09,Y,19
34,30415,MORTGAGE,1.0,PERSONAL,6400.0,,0,0.21,N,16
45,30712,MORTGAGE,1.0,DEBTCONSOLIDATION,5000.0,7.61,0,0.16,N,27
33,53368,MORTGAGE,8.0,PERSONAL,6100.0,12.39,1,0.11,N,12
41,128606,MORTGAGE,14.0,PERSONAL,7800.0,8.34,0,0.06,N,23
30,70788,RENT,1.0,MEDICAL,7800.0,6.79,0,0.11,N,12
33,82523,MORTGAGE,1.0,MEDICAL,10400.0,9.26,0,0.13,N,11
41,28187,MORTGAGE,6.0,VENTURE,2300.0,8.45,0,0.08,N,20
45,68487,RENT,8.0,DEBTCONSOLIDATION,12100.0,7.5,0,0.18,N,26
41,28125,RENT,25.0,PERSONAL,3500.0,9.77,1,0.12,Y,21
39,70648,RENT,1.0,VENTURE,9400.0,6.46,0,0.13,N,20
38,22350,MORTGAGE,4.0,VENTURE,1600.0,5.0,0,0.07,N,19
32,41375,MORTGAGE,0.0,HOMEIMPROVEMENT,2700.0,5.0,0,0.07,N,10
35,17561,RENT,2.0,PERSONAL,3100.0,,0,0.18,N,13
37,31497,RENT,0.0,DEBTCONSOLIDATION,3300.0,14.95,0,0.1,N,19
47,24045,RENT,1.0,PERSONAL,2600.0,12.44,0,0.11,N,28
42,67886,MORTGAGE,3.0,EDUCATION,5700.0,10.77,1,0.08,Y,21
31,51390,MORTGAGE,0.0,EDUCATION,5900.0,8.47,0,0.11,N,11
42,38802,MORTGAGE,11.0,MEDICAL,8300.0,8.97,0,0.21,N,24
37,51977,MORTGAGE,6.0,EDUCATION,3500.0,11.53,0,0.07,N,16
36,32355,RENT,0.0,VENTURE,5600.0,12.36,1,0.17,N,18
44,57580,MORTGAGE,10.0,EDUCATION,9100.0,12.24,0,0.16,N,23
47,47152,MORTGAGE,18.0,VENTURE,4800.0,6.59,0,0.1,N,29
46,153345,MORTGAGE,3.0,VENTURE,12200.0,10.33,0,0.08,N,26
35,110941,MORTGAGE,1.0,MEDICAL,9600.0,13.35,0,0.09,N,14
38,78455,RENT,1.0,PERSONAL,8800.0,10.44,0,0.11,N,20
42,56736,RENT,0.0,VENTURE,6600.0,10.48,0,0.12,N,22
46,60487,RENT,3.0,DEBTCONSOLIDATION,7700.0,13.09,0,0.13,Y,26
37,91167,RENT,0.0,EDUCATION,16600.0,15.44,1,0.18,N,17
38,56617,RENT,3.0,VENTURE,6800.0,10.54,1,0.12,N,20
34,58386,OWN,1.0,HOMEIMPROVEMENT,6400.0,5.1,0,0.11,N,13
33,36745,MORTGAGE,3.0,VENTURE,3000.0,7.51,0,0.08,N,11
45,34764,RENT,2.0,DEBTCONSOLIDATION,3500.0,8.75,1,0.1,N,23
49,46462,RENT,1.0,EDUCATION,8500.0,5.0,0,0.18,N,28
39,13262,OTHER,2.0,MEDICAL,3700.0,13.26,1,0.28,N,19
47,48313,MORTGAGE,3.0,EDUCATION,4900.0,7.22,0,0.1,N,29
42,43431,OTHER,8.0,MEDICAL,5600.0,12.13,1,0.13,Y,23
36,76078,MORTGAGE,5.0,PERSONAL,12900.0,14.36,0,0.17,N,17
42,90429,RENT,2.0,VENTURE,21100.0,7.33,0,0.23,N,22
51,177321,OWN,11.0,EDUCATION,20800.0,8.85,0,0.12,N,30
39,65498,MORTGAGE,7.0,VENTURE,5800.0,10.4,0,0.09,N,21
51,52892,MORTGAGE,0.0,HOMEIMPROVEMENT,8700.0,8.34,0,0.16,N,30
28,36935,MORTGAGE,0.0,VENTURE,4700.0,9.19,1,0.13,Y,8
45,29014,MORTGAGE,0.0,EDUCATION,4700.0,8.91,0,0.16,N,27
40,77428,MORTGAGE,1.0,EDUCATION,23900.0,6.95,0,0.31,N,18
38,48353,MORTGAGE,2.0,VENTURE,10700.0,12.35,0,0.22,N,17
40,60625,MORTGAGE,3.0,PERSONAL,12500.0,10.54,0,0.21,N,19
30,49478,MORTGAGE,9.0,DEBTCONSOLIDATION,6300.0,8.07,0,0.13,N,10
38,50128,MORTGAGE,0.0,DEBTCONSOLIDATION,4200.0,6.98,0,0.08,N,17
42,54699,MORTGAGE,2.0,DEBTCONSOLIDATION,11000.0,6.29,0,0.2,N,22
50,60539,RENT,2.0,VENTURE,9900.0,12.51,0,0.16,N,28
37,78461,MORTGAGE,14.0,EDUCATION,7200.0,10.42,1,0.09,N,17
35,26472,RENT,1.0,MEDICAL,6000.0,12.96,1,0.23,N,15
37,65712,RENT,0.0,VENTURE,10700.0,16.15,0,0.16,N,19
46,25743,RENT,0.0,DEBTCONSOLIDATION,4100.0,11.26,0,0.16,N,25
42,69613,RENT,3.0,EDUCATION,10300.0,11.39,0,0.15,Y,22
36,57533,RENT,2.0,VENTURE,3500.0,8.98,0,0.06,N,16
43,47179,RENT,,PERSONAL,5200.0,15.26,1,0.11,Y,25
40,48110,MORTGAGE,1.0,MEDICAL,6000.0,14.32,0,0.12,N,22
46,52494,RENT,0.0,MEDICAL,8400.0,6.76,0,0.16,N,25
36,84583,MORTGAGE,2.0,VENTURE,6400.0,7.88,0,0.08,N,18
38,80921,MORTGAGE,10.0,MEDICAL,9900.0,,1,0.12,Y,17
37,76321,MORTGAGE,2.0,VENTURE,5500.0,5.0,0,0.07,N,16
32,25004,RENT,8.0,EDUCATION,2700.0,9.04,0,0.11,N,13
41,65389,MORTGAGE,2.0,EDUCATION,15800.0,11.54,1,0.24,N,22
41,14781,RENT,1.0,EDUCATION,4500.0,15.83,0,0.3,N,21
40,16893,RENT,7.0,VENTURE,1800.0,15.39,0,0.11,N,19
38,85988,MORTGAGE,1.0,PERSONAL,15400.0,11.13,0,0.18,N,17
32,23778,OWN,1.0,VENTURE,3200.0,9.0,0,0.13,N,13
37,44821,MORTGAGE,0.0,VENTURE,6200.0,11.65,0,0.14,N,19
38,98930,MORTGAGE,,VENTURE,6700.0,,1,0.07,Y,20
35,65636,RENT,2.0,PERSONAL,14400.0,11.25,0,0.22,N,17
39,58983,RENT,2.0,MEDICAL,4500.0,13.45,1,0.08,N,18
42,47705,RENT,2.0,MEDICAL,3000.0,10.47,1,0.06,N,23
54,52206,RENT,3.0,DEBTCONSOLIDATION,7300.0,8.02,0,0.14,N,30
41,35861,MORTGAGE,4.0,VENTURE,4300.0,12.44,0,0.12,N,22
41,38569,MORTGAGE,1.0,HOMEIMPROVEMENT,6500.0,14.77,0,0.17,N,21
39,51187,MORTGAGE,4.0,DEBTCONSOLIDATION,8200.0,7.85,0,0.16,N,21
30,55061,RENT,2.0,PERSONAL,5200.0,9.23,1,0.09,N,12
